Date,Close,High,Low,Open,Volume
2010-01-04,1132.989990234375,1133.8699951171875,1116.56005859375,1116.56005859375,3991400000
2010-01-05,1136.52001953125,1136.6300048828125,1129.6600341796875,1132.6600341796875,2491020000
2010-01-06,1137.1400146484375,1139.18994140625,1133.949951171875,1135.7099609375,4972660000
2010-01-07,1141.68994140625,1142.4599609375,1131.3199462890625,1136.27001953125,5270680000
2010-01-08,1144.97998046875,1145.3900146484375,1136.219970703125,1140.52001953125,4389590000
2010-01-11,1146.97998046875,1149.739990234375,1142.02001953125,1145.9599609375,4255780000
2010-01-12,1136.219970703125,1143.81005859375,1131.77001953125,1143.81005859375,4716160000
2010-01-13,1145.6800537109375,1148.4000244140625,1133.1800537109375,1137.31005859375,4170360000
2010-01-14,1148.4599609375,1150.4100341796875,1143.800048828125,1145.6800537109375,3915200000
2010-01-15,1136.030029296875,1147.77001953125,1131.3900146484375,1147.719970703125,4758730000
2010-01-19,1150.22998046875,1150.449951171875,1135.77001953125,1136.030029296875,4724830000
2010-01-20,1138.0400390625,1147.949951171875,1129.25,1147.949951171875,4810560000
2010-01-21,1116.47998046875,1141.5799560546875,1114.8399658203125,1138.6800537109375,6874290000
2010-01-22,1091.760009765625,1115.489990234375,1090.1800537109375,1115.489990234375,6208650000
2010-01-25,1096.780029296875,1102.969970703125,1092.4000244140625,1092.4000244140625,4481390000
2010-01-26,1092.1700439453125,1103.68994140625,1089.8599853515625,1095.800048828125,4731910000
2010-01-27,1097.5,1099.510009765625,1083.1099853515625,1091.93994140625,5319120000
2010-01-28,1084.530029296875,1100.219970703125,1078.4599609375,1096.9300537109375,5452400000
2010-01-29,1073.8699951171875,1096.449951171875,1071.5899658203125,1087.6099853515625,5412850000
2010-02-01,1089.18994140625,1089.3800048828125,1073.8900146484375,1073.8900146484375,4077610000
2010-02-02,1103.3199462890625,1104.72998046875,1087.9599609375,1090.050048828125,4749540000
2010-02-03,1097.280029296875,1102.719970703125,1093.969970703125,1100.6700439453125,4285450000
2010-02-04,1063.1099853515625,1097.25,1062.780029296875,1097.25,5859690000
2010-02-05,1066.18994140625,1067.1300048828125,1044.5,1064.1199951171875,6438900000
2010-02-08,1056.739990234375,1071.199951171875,1056.510009765625,1065.510009765625,4089820000
